college,sport,city,division,enrollment_male,enrollment_female,enrollment_total,college_type,gender,participants_male,participants_female,opexp_per_male,opexp_per_male_team,opexp_per_female,opexp_per_female_team, revenue_male,revenue_female,expense_male,expense_female
Dominican College of Blauvelt,Golf,Orangeburg,NCAA Division II (without football),469,800,1269,"Private nonprofit, 4-year or above",Men,9,,2730,24568,,,75333,,75333,
Daemen College,Golf,Amherst,NCAA Division II (without football),497,1179,1676,"Private nonprofit, 4-year or above",Men,7,,2868,20078,,,64535,,64535,
Niagara University,Golf,Niagara University,NCAA Division I-AAA,1149,1669,2818,"Private nonprofit, 4-year or above",Men,10,,1007,10073,,,63317,,63317,
SUNY College of Agriculture and Technology at Cobleskill,Golf,Cobleskill,NCAA Division III (without football),1177,1233,2410,"Public, 4-year or above",Men,12,,2518,30218,,,62138,,62138,
St Lawrence University,Golf,Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Men,14,,1196,16740,,,61052,,61052,
The College of Saint Rose,Golf,Albany,NCAA Division II (without football),852,1655,2507,"Private nonprofit, 4-year or above",Men,8,,2530,20238,,,53701,,53505,
Farmingdale State College,Golf,Farmingdale,NCAA Division III (without football),3701,2451,6152,"Public, 4-year or above",Men,17,,1270,21595,,,51595,,51595,
Morrisville State College,Golf,Morrisville,NCAA Division III (with football),1283,1221,2504,"Public, 4-year or above",Men,12,,1329,15950,,,49993,,49993,
St Francis College,Golf,Brooklyn Heights,NCAA Division I-AAA,1059,1354,2413,"Private nonprofit, 4-year or above",Men,6,,4826,28958,,,49558,,49558,
SUNY College at Oswego,Golf,Oswego,NAIA Division III,3316,3516,6832,"Public, 4-year or above",Men,12,,1370,16438,,,44123,,42825,
Saint Joseph's College-New York,Golf,Brooklyn,NCAA Division III (without football),1103,2118,3221,"Private nonprofit, 4-year or above",Men,9,,3232,29090,,,41328,,41328,
Onondaga Community College,Golf,Syracuse,NJCAA Division III,3184,3062,6246,"Public, 2-year",Men,8,,2611,20885,,,37847,,37542,
Elmira College,Golf,Elmira,NCAA Division III (without football),358,819,1177,"Private nonprofit, 4-year or above",Men,10,,1004,10037,,,36928,,36928,
SUNY College of Technology at Delhi,Golf,Delhi,NJCAA Division III,1432,1222,2654,"Public, 4-year or above",Men,11,,2914,32049,,,36760,,36760,
Keuka College,Golf,Keuka Park,NCAA Division III (without football),383,964,1347,"Private nonprofit, 4-year or above",Men,13,,1426,18538,,,33035,,33035,
SUNY College at Potsdam,Golf,Potsdam,NCAA Division III (without football),1562,2011,3573,"Public, 4-year or above",Men,9,,961,8648,,,31001,,31001,
SUNY College at Old Westbury,Golf,Old Westbury,NCAA Division III (without football),1494,2142,3636,"Public, 4-year or above",Men,8,,1519,12150,,,27705,,27705,
Yeshiva University,Golf,New York,NCAA Division III (without football),1433,1291,2724,"Private nonprofit, 4-year or above",Men,8,,2021,16169,,,27087,,27087,
Rensselaer Polytechnic Institute,Golf,Troy,NCAA Division III (with football),3861,1695,5556,"Private nonprofit, 4-year or above",Men,8,,2215,17722,,,40366,,26848,
Manhattanville College,Golf,Purchase,NCAA Division III (without football),609,1098,1707,"Private nonprofit, 4-year or above",Men,11,,1139,12527,,,26898,,26787,
Nazareth College,Golf,Rochester,NCAA Division III (without football),535,1382,1917,"Private nonprofit, 4-year or above",Men,13,,1270,16504,,,40545,,25821,
SUNY at Purchase College,Golf,Purchase,NCAA Division III (without football),1648,2046,3694,"Public, 4-year or above",Men,9,,369,3319,,,24000,,23240,
Jefferson Community College,Golf,Watertown,NJCAA Division III,898,1234,2132,"Public, 2-year",Men,9,,1645,14804,,,22312,,22312,
Hobart William Smith Colleges,Golf,Geneva,NCAA Division III (with football),1094,1248,2342,"Private nonprofit, 4-year or above",Men,10,,982,9819,,,21555,,21555,
Nassau Community College,Golf,Garden City,NJCAA Division III,6765,6210,12975,"Public, 2-year",Men,7,,1610,11270,,,21377,,21377,
SUNY College of Technology at Canton,Golf,Canton,Other,1288,1505,2793,"Public, 4-year or above",Men,7,,1285,8995,,,20460,,20210,
Niagara County Community College,Golf,Sanborn,NJCAA Division III,1739,2210,3949,"Public, 2-year",Men,10,,1409,14091,,,21091,,20091,
SUNY Broome Community College,Golf,Binghamton,NJCAA Division III,1973,2318,4291,"Public, 2-year",Men,7,,2002,14016,,,18958,,18958,
Mount Saint Mary College,Golf,Newburgh,NCAA Division III (without football),522,1185,1707,"Private nonprofit, 4-year or above",Men,7,,943,6598,,,19343,,18573,
Monroe Community College,Golf,Rochester,NJCAA Division I,4504,4859,9363,"Public, 2-year",Men,7,,1791,12537,,,19029,,17143,
Medaille College,Golf,Buffalo,NCAA Division III (without football),561,1188,1749,"Private nonprofit, 4-year or above",Men,7,,777,5438,,,13396,,14903,
Genesee Community College,Golf,Batavia,NJCAA Division II,1060,1886,2946,"Public, 2-year",Men,7,,1471,10297,,,14411,,14411,
Rockland Community College,Golf,Suffern,NJCAA Division III,2205,1954,4159,"Public, 2-year",Men,3,,2294,6883,,,14377,,14377,
Mohawk Valley Community College,Golf,Utica,NJCAA Division III,1985,2002,3987,"Public, 2-year",Men,6,,864,5184,,,14223,,14223,
SUNY Westchester Community College,Golf,Valhalla,NJCAA Division III,3645,3714,7359,"Public, 2-year",Men,5,,215,1076,,,13699,,13699,
The Sage Colleges,Golf,Troy,NCAA Division III (without football),311,1147,1458,"Private nonprofit, 4-year or above",Men,8,,858,6866,,,13860,,13466,
Utica College,Golf,Utica,NCAA Division III (with football),969,1227,2196,"Private nonprofit, 4-year or above",Men,13,,445,5787,,,13237,,13237,
D'Youville College,Golf,Buffalo,NCAA Division III (without football),416,1087,1503,"Private nonprofit, 4-year or above",Men,10,,680,6802,,,12957,,12957,
SUNY College of Environmental Science and Forestry,Golf,Syracuse,Other,919,751,1670,"Public, 4-year or above",Men,10,,763,7627,,,12377,,12127,
Jamestown Community College,Golf,Jamestown,NJCAA Division III,1095,1377,2472,"Public, 2-year",Men,6,,1011,6063,,,10563,,10563,
Tompkins Cortland Community College,Golf,Dryden,NJCAA Division III,1062,1182,2244,"Public, 2-year",Men,5,,1083,5414,,,9584,,9584,
Cayuga County Community College,Golf,Auburn,NJCAA Division III,790,1227,2017,"Public, 2-year",Men,4,,1393,5572,,,9525,,9525,
Orange County Community College,Golf,Middletown,Other,1502,1793,3295,"Public, 2-year",Men,6,,880,5280,,,9075,,8876,
Adirondack Community College,Golf,Queensbury,NJCAA Division III,1162,1338,2500,"Public, 2-year",Men,4,,1590,6361,,,11684,,8470,
Hilbert College,Golf,Hamburg,NCAA Division III (without football),370,472,842,"Private nonprofit, 4-year or above",Men,6,,641,3847,,,8086,,8086,
Ulster County Community College,Golf,Stone Ridge,NJCAA Division III,683,806,1489,"Public, 2-year",Men,12,,385,4621,,,7121,,7121,
Sullivan County Community College,Golf,Loch Sheldrake,NJCAA Division III,432,475,907,"Public, 2-year",Men,2,,376,752,,,3136,,3136,
Columbia-Greene Community College,Golf,Hudson,NJCAA Division III,373,475,848,"Public, 2-year",Men,3,,190,571,,,2354,,1967,
Le Moyne College,Golf,Syracuse,NCAA Division II (without football),1104,1385,2489,"Private nonprofit, 4-year or above",Women,,12,,,1255,15054,,44788,,43708
Hamilton College,Golf,Clinton,NCAA Division III (with football),918,972,1890,"Private nonprofit, 4-year or above",Women,,11,,,2011,22121,,88796,,88796
St Lawrence University,Golf,Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Women,,11,,,1196,13152,,57464,,57464
New York University,Golf,New York,NCAA Division III (without football),10184,13266,23450,"Private nonprofit, 4-year or above",Women,,10,,,11806,118057,,178354,,174745
Columbia University - NYC,Golf,New York,NCAA Division I-AA,3926,3570,7496,"Private nonprofit, 4-year or above",Women,,9,,,15768,141911,,288346,,288346
Hofstra University,Golf,Hempstead,NCAA Division I-AAA,2970,3460,6430,"Private nonprofit, 4-year or above",Women,,9,,,3743,33687,,190172,,190172
Ithaca College,Golf,Ithaca,NCAA Division III (with football),2551,3452,6003,"Private nonprofit, 4-year or above",Women,,9,,,3507,31565,,138360,,138360
Saint John Fisher College,Golf,Rochester,NCAA Division III (with football),1078,1581,2659,"Private nonprofit, 4-year or above",Women,,9,,,2783,25046,,53148,,53148
Hobart William Smith Colleges,Golf,Geneva,NCAA Division III (with football),1094,1248,2342,"Private nonprofit, 4-year or above",Women,,9,,,1508,13569,,26431,,26431
Nazareth College,Golf,Rochester,NCAA Division III (without football),535,1382,1917,"Private nonprofit, 4-year or above",Women,,9,,,1884,16954,,41401,,26303
Union College,Golf,Schenectady,NCAA Division III (with football),1193,1009,2202,"Private nonprofit, 4-year or above",Women,,8,,,1456,11647,,19365,,22329
Hudson Valley Community College,Golf,Troy,NJCAA Division III,3578,2594,6172,"Public, 2-year",Women,,8,,,888,7105,,10351,,10351
Niagara University,Golf,Niagara University,NCAA Division I-AAA,1149,1669,2818,"Private nonprofit, 4-year or above",Women,,7,,,2117,14820,,106764,,106764
SUNY College at Cortland,Golf,Cortland,NCAA Division III (with football),2631,3572,6203,"Public, 4-year or above",Women,,7,,,3341,23388,,50542,,50542
Elmira College,Golf,Elmira,NCAA Division III (without football),358,819,1177,"Private nonprofit, 4-year or above",Women,,7,,,527,3687,,26970,,26970
St John's University-New York,Golf,Queens,NCAA Division I-AAA,4884,5671,10555,"Private nonprofit, 4-year or above",Women,,6,,,11229,67375,,394988,,394988
SUNY at Albany,Golf,Albany,NCAA Division I-AA,6228,5867,12095,"Public, 4-year or above",Women,,6,,,10192,61153,,244730,,243780
Siena College,Golf,Loudonville,NCAA Division I-AAA,1428,1556,2984,"Private nonprofit, 4-year or above",Women,,6,,,6368,38210,,120480,,120480
Wagner College,Golf,Staten Island,NCAA Division I-A,657,1105,1762,"Private nonprofit, 4-year or above",Women,,6,,,4882,29293,,113931,,113408
LIU Post,Golf,Brookville,NCAA Division II (with football),1317,2038,3355,"Private nonprofit, 4-year or above",Women,,6,,,3443,20655,,84042,,84042
LIU Brooklyn,Golf,Brooklyn,NCAA Division I-AAA,1312,2798,4110,"Private nonprofit, 4-year or above",Women,,5,,,12895,64475,,362201,,362201
Vassar College,Golf,Poughkeepsie,NCAA Division III (without football),1049,1331,2380,"Private nonprofit, 4-year or above",Women,,5,,,6535,32677,,158334,,158334
St Francis College,Golf,Brooklyn Heights,NCAA Division I-AAA,1059,1354,2413,"Private nonprofit, 4-year or above",Women,,5,,,7696,38479,,93030,,93030
SUNY College of Technology at Delhi,Golf,Delhi,NJCAA Division III,1432,1222,2654,"Public, 4-year or above",Women,,5,,,3705,18524,,21835,,21835
Manhattanville College,Golf,Purchase,NCAA Division III (without football),609,1098,1707,"Private nonprofit, 4-year or above",Women,,5,,,1337,6685,,18256,,18571
Adelphi University,Golf,Garden City,NCAA Division II (without football),1403,3173,4576,"Private nonprofit, 4-year or above",Women,,3,,,3711,11132,,51076,,51076
Genesee Community College,Golf,Batavia,NJCAA Division II,1060,1886,2946,"Public, 2-year",Women,,2,,,5149,10297,,14411,,14411
Niagara County Community College,Golf,Sanborn,NJCAA Division III,1739,2210,3949,"Public, 2-year",Women,,1,,,1409,1409,,8409,,17409
SUNY College of Agriculture and Technology at Cobleskill,Golf,Cobleskill,NCAA Division III (without football),1177,1233,2410,"Public, 4-year or above",Women,,1,,,2518,2518,,8084,,8084
Jefferson Community College,Golf,Watertown,NJCAA Division III,898,1234,2132,"Public, 2-year",Women,,1,,,3960,3960,,4585,,4585
Onondaga Community College,Golf,Syracuse,NJCAA Division III,3184,3062,6246,"Public, 2-year",Women,,1,,,2611,2611,,4186,,4535
Cayuga County Community College,Golf,Auburn,NJCAA Division III,790,1227,2017,"Public, 2-year",Women,,1,,,1393,1393,,3256,,3256
Columbia-Greene Community College,Golf,Hudson,NJCAA Division III,373,475,848,"Public, 2-year",Women,,1,,,190,190,,1669,,1540
SUNY College at Brockport,Gymnastics,Brockport,NCAA Division III (with football),2904,3400,6304,"Public, 4-year or above",Women,,28,,,1530,42842,,74117,,74117
Cornell University,Gymnastics,Ithaca,NCAA Division I-AA,6976,7206,14182,"Private nonprofit, 4-year or above",Women,,21,,,2427,50968,,298750,,298750
Ithaca College,Gymnastics,Ithaca,NCAA Division III (with football),2551,3452,6003,"Private nonprofit, 4-year or above",Women,,21,,,2066,43387,,127036,,127036
SUNY College at Cortland,Gymnastics,Cortland,NCAA Division III (with football),2631,3572,6203,"Public, 4-year or above",Women,,19,,,3466,65848,,155412,,155412
Rensselaer Polytechnic Institute,Ice Hockey,Troy,NCAA Division III (with football),3861,1695,5556,"Private nonprofit, 4-year or above",Men,26,,17247,448423,,,2353070,,2231241,
Clarkson University,Ice Hockey,Potsdam,NCAA Division III (without football),2201,920,3121,"Private nonprofit, 4-year or above",Men,27,,11651,314567,,,2543400,,2193204,
St Lawrence University,Ice Hockey,Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Men,27,,11528,311268,,,1885646,,1885646,
Colgate University,Ice Hockey,Hamilton,NCAA Division I-AA,1305,1558,2863,"Private nonprofit, 4-year or above",Men,27,,13807,372790,,,1854794,,1854794,
Cornell University,Ice Hockey,Ithaca,NCAA Division I-AA,6976,7206,14182,"Private nonprofit, 4-year or above",Men,27,,16364,441831,,,1587722,,1587722,
Niagara University,Ice Hockey,Niagara University,NCAA Division I-AAA,1149,1669,2818,"Private nonprofit, 4-year or above",Men,30,,10633,318990,,,1184240,,1184240,
Rochester Institute of Technology,Ice Hockey,Rochester,Other,8188,4003,12191,"Private nonprofit, 4-year or above",Men,26,,14217,369647,,,1025428,,1025428,
Canisius College,Ice Hockey,Buffalo,NCAA Division I-AAA,1251,1449,2700,"Private nonprofit, 4-year or above",Men,28,,7146,200074,,,991566,,991566,
Union College,Ice Hockey,Schenectady,NCAA Division III (with football),1193,1009,2202,"Private nonprofit, 4-year or above",Men,27,,11143,300860,,,919352,,844592,
Utica College,Ice Hockey,Utica,NCAA Division III (with football),969,1227,2196,"Private nonprofit, 4-year or above",Men,29,,5552,161021,,,478838,,354591,
SUNY College at Plattsburgh,Ice Hockey,Plattsburgh,NCAA Division III (without football),2265,2813,5078,"Public, 4-year or above",Men,27,,4932,133175,,,344392,,330466,
SUNY College at Oswego,Ice Hockey,Oswego,NAIA Division III,3316,3516,6832,"Public, 4-year or above",Men,32,,3803,121708,,,488393,,327958,
Hobart William Smith Colleges,Ice Hockey,Geneva,NCAA Division III (with football),1094,1248,2342,"Private nonprofit, 4-year or above",Men,30,,1418,42544,,,303710,,303710,
Hamilton College,Ice Hockey,Clinton,NCAA Division III (with football),918,972,1890,"Private nonprofit, 4-year or above",Men,26,,4609,119824,,,249221,,249221,
SUNY College at Geneseo,Ice Hockey,Geneseo,NCAA Division III (without football),2278,3136,5414,"Public, 4-year or above",Men,30,,3788,113630,,,211375,,204574,
Nazareth College,Ice Hockey,Rochester,NCAA Division III (without football),535,1382,1917,"Private nonprofit, 4-year or above",Men,29,,3468,100573,,,204213,,199410,
SUNY Buffalo State,Ice Hockey,Buffalo,NCAA Division III (with football),3485,4793,8278,"Public, 4-year or above",Men,25,,2479,61970,,,208816,,192199,
SUNY at Fredonia,Ice Hockey,Fredonia,NCAA Division III (without football),2174,2621,4795,"Public, 4-year or above",Men,27,,3914,105679,,,195683,,188797,
Elmira College,Ice Hockey,Elmira,NCAA Division III (without football),358,819,1177,"Private nonprofit, 4-year or above",Men,28,,1927,53963,,,185258,,185258,
Morrisville State College,Ice Hockey,Morrisville,NCAA Division III (with football),1283,1221,2504,"Public, 4-year or above",Men,24,,4545,109080,,,171662,,171662,
SUNY College at Potsdam,Ice Hockey,Potsdam,NCAA Division III (without football),1562,2011,3573,"Public, 4-year or above",Men,25,,3881,97031,,,154663,,153082,
SUNY College at Cortland,Ice Hockey,Cortland,NCAA Division III (with football),2631,3572,6203,"Public, 4-year or above",Men,24,,3212,77085,,,152389,,152389,
Skidmore College,Ice Hockey,Saratoga Springs,NCAA Division III (without football),1051,1546,2597,"Private nonprofit, 4-year or above",Men,25,,2694,67358,,,151372,,151372,
Manhattanville College,Ice Hockey,Purchase,NCAA Division III (without football),609,1098,1707,"Private nonprofit, 4-year or above",Men,28,,2129,59617,,,146667,,145638,
SUNY College of Technology at Canton,Ice Hockey,Canton,Other,1288,1505,2793,"Public, 4-year or above",Men,28,,2375,66492,,,141747,,140303,
SUNY College at Brockport,Ice Hockey,Brockport,NCAA Division III (with football),2904,3400,6304,"Public, 4-year or above",Men,28,,2305,64550,,,109081,,109081,
Erie Community College,Ice Hockey,Buffalo,NJCAA Division III,4307,4006,8313,"Public, 2-year",Men,26,,2198,57160,,,75489,,75624,
Mohawk Valley Community College,Ice Hockey,Utica,NJCAA Division III,1985,2002,3987,"Public, 2-year",Men,23,,1330,30590,,,63298,,63298,
SUNY Broome Community College,Ice Hockey,Binghamton,NJCAA Division III,1973,2318,4291,"Public, 2-year",Men,26,,1367,35529,,,50444,,48589,
Hudson Valley Community College,Ice Hockey,Troy,NJCAA Division III,3578,2594,6172,"Public, 2-year",Men,19,,939,17835,,,29033,,29033,
Utica College,Ice Hockey,Utica,NCAA Division III (with football),969,1227,2196,"Private nonprofit, 4-year or above",Women,,27,,,2893,78101,,240909,,232802
Manhattanville College,Ice Hockey,Purchase,NCAA Division III (without football),609,1098,1707,"Private nonprofit, 4-year or above",Women,,27,,,1542,41635,,102283,,107286
Elmira College,Ice Hockey,Elmira,NCAA Division III (without football),358,819,1177,"Private nonprofit, 4-year or above",Women,,26,,,1999,51972,,160870,,160870
Syracuse University,Ice Hockey,Syracuse,NCAA Division I-A,6394,7835,14229,"Private nonprofit, 4-year or above",Women,,25,,,8072,201791,,1201996,,2075366
SUNY College at Cortland,Ice Hockey,Cortland,NCAA Division III (with football),2631,3572,6203,"Public, 4-year or above",Women,,25,,,2358,58941,,144469,,144469
St Lawrence University,Ice Hockey,Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Women,,24,,,6447,154718,,1568600,,1568600
SUNY College at Oswego,Ice Hockey,Oswego,NAIA Division III,3316,3516,6832,"Public, 4-year or above",Women,,24,,,3617,86814,,196638,,182999
Rensselaer Polytechnic Institute,Ice Hockey,Troy,NCAA Division III (with football),3861,1695,5556,"Private nonprofit, 4-year or above",Women,,23,,,9811,225652,,1723715,,1612127
Colgate University,Ice Hockey,Hamilton,NCAA Division I-AA,1305,1558,2863,"Private nonprofit, 4-year or above",Women,,23,,,7752,178290,,1538995,,1538995
Union College,Ice Hockey,Schenectady,NCAA Division III (with football),1193,1009,2202,"Private nonprofit, 4-year or above",Women,,23,,,7381,169767,,379128,,399213
SUNY College at Plattsburgh,Ice Hockey,Plattsburgh,NCAA Division III (without football),2265,2813,5078,"Public, 4-year or above",Women,,23,,,4022,92512,,278796,,271909
Hamilton College,Ice Hockey,Clinton,NCAA Division III (with football),918,972,1890,"Private nonprofit, 4-year or above",Women,,23,,,2439,56099,,151419,,151419
Rochester Institute of Technology,Ice Hockey,Rochester,Other,8188,4003,12191,"Private nonprofit, 4-year or above",Women,,22,,,10391,228598,,604273,,604273
Clarkson University,Ice Hockey,Potsdam,NCAA Division III (without football),2201,920,3121,"Private nonprofit, 4-year or above",Women,,20,,,11331,226626,,1821685,,1724456
Cornell University,Ice Hockey,Ithaca,NCAA Division I-AA,6976,7206,14182,"Private nonprofit, 4-year or above",Women,,20,,,8603,172061,,830628,,830628
SUNY Buffalo State,Ice Hockey,Buffalo,NCAA Division III (with football),3485,4793,8278,"Public, 4-year or above",Women,,20,,,3441,68827,,187860,,165391
SUNY College at Potsdam,Ice Hockey,Potsdam,NCAA Division III (without football),1562,2011,3573,"Public, 4-year or above",Women,,20,,,2442,48830,,118461,,120240
Hobart William Smith Colleges,Ice Hockey,Geneva,NCAA Division III (with football),1094,1248,2342,"Private nonprofit, 4-year or above",Women,,18,,,3147,56651,,216377,,216377
SUNY College of Technology at Canton,Ice Hockey,Canton,Other,1288,1505,2793,"Public, 4-year or above",Women,,18,,,3235,58225,,84744,,77889
Syracuse University,Lacrosse,Syracuse,NCAA Division I-A,6394,7835,14229,"Private nonprofit, 4-year or above",Men,61,,9468,577557,,,1942905,,2713487,
Hofstra University,Lacrosse,Hempstead,NCAA Division I-AAA,2970,3460,6430,"Private nonprofit, 4-year or above",Men,44,,6248,274899,,,1647436,,1647436,
St John's University-New York,Lacrosse,Queens,NCAA Division I-AAA,4884,5671,10555,"Private nonprofit, 4-year or above",Men,38,,3763,143007,,,1187993,,1187993,
Colgate University,Lacrosse,Hamilton,NCAA Division I-AA,1305,1558,2863,"Private nonprofit, 4-year or above",Men,48,,5163,247809,,,1020487,,1020487,
Cornell University,Lacrosse,Ithaca,NCAA Division I-AA,6976,7206,14182,"Private nonprofit, 4-year or above",Men,45,,3232,145443,,,865902,,865902,
SUNY at Albany,Lacrosse,Albany,NCAA Division I-AA,6228,5867,12095,"Public, 4-year or above",Men,52,,5136,267053,,,926850,,857497,
Stony Brook University,Lacrosse,Stony Brook,NCAA Division I-AA,8253,6890,15143,"Public, 4-year or above",Men,38,,3803,144510,,,1295114,,852938,
Siena College,Lacrosse,Loudonville,NCAA Division I-AAA,1428,1556,2984,"Private nonprofit, 4-year or above",Men,47,,3146,147841,,,747151,,747151,
LIU Post,Lacrosse,Brookville,NCAA Division II (with football),1317,2038,3355,"Private nonprofit, 4-year or above",Men,51,,2265,115499,,,645576,,645576,
Manhattan College,Lacrosse,Riverdale,NCAA Division I-AAA,1811,1465,3276,"Private nonprofit, 4-year or above",Men,38,,2843,108024,,,643442,,643442,
Marist College,Lacrosse,Poughkeepsie,NCAA Division I-AA,1993,2879,4872,"Private nonprofit, 4-year or above",Men,41,,4197,172087,,,616421,,616421,
Canisius College,Lacrosse,Buffalo,NCAA Division I-AAA,1251,1449,2700,"Private nonprofit, 4-year or above",Men,48,,2629,126173,,,603606,,603606,
Adelphi University,Lacrosse,Garden City,NCAA Division II (without football),1403,3173,4576,"Private nonprofit, 4-year or above",Men,41,,3392,139069,,,570963,,570963,
SUNY at Binghamton,Lacrosse,Vestal,NCAA Division I-AAA,6746,6160,12906,"Public, 4-year or above",Men,41,,2188,89725,,,585714,,566017,
Hobart William Smith Colleges,Lacrosse,Geneva,NCAA Division III (with football),1094,1248,2342,"Private nonprofit, 4-year or above",Men,50,,2113,105640,,,554982,,554982,
Pace University-New York,Lacrosse,New York,NCAA Division II (with football),2857,4362,7219,"Private nonprofit, 4-year or above",Men,48,,1464,70291,,,528282,,513912,
New York Institute of Technology,Lacrosse,Old Westbury,NCAA Division II (without football),2286,1332,3618,"Private nonprofit, 4-year or above",Men,34,,571,19416,,,490840,,490840,
Rochester Institute of Technology,Lacrosse,Rochester,Other,8188,4003,12191,"Private nonprofit, 4-year or above",Men,45,,3176,142912,,,466710,,466710,
Wagner College,Lacrosse,Staten Island,NCAA Division I-A,657,1105,1762,"Private nonprofit, 4-year or above",Men,43,,1862,80083,,,456781,,448948,
Mercy College,Lacrosse,Dobbs Ferry,NCAA Division II (without football),1636,3474,5110,"Private nonprofit, 4-year or above",Men,46,,1890,86956,,,369307,,341479,
Molloy College,Lacrosse,Rockville Centre,NCAA Division II (without football),710,1964,2674,"Private nonprofit, 4-year or above",Men,35,,1198,41917,,,324628,,324143,
Dowling College,Lacrosse,Oakdale,NCAA Division II (without football),562,518,1080,"Private nonprofit, 4-year or above",Men,22,,1813,39881,,,312636,,312636,
Le Moyne College,Lacrosse,Syracuse,NCAA Division II (without football),1104,1385,2489,"Private nonprofit, 4-year or above",Men,49,,1139,55793,,,335860,,290922,
Hamilton College,Lacrosse,Clinton,NCAA Division III (with football),918,972,1890,"Private nonprofit, 4-year or above",Men,50,,2276,113780,,,245478,,245478,
Union College,Lacrosse,Schenectady,NCAA Division III (with football),1193,1009,2202,"Private nonprofit, 4-year or above",Men,40,,3058,122307,,,238534,,242404,
Ithaca College,Lacrosse,Ithaca,NCAA Division III (with football),2551,3452,6003,"Private nonprofit, 4-year or above",Men,37,,2047,75741,,,241072,,241072,
Roberts Wesleyan College,Lacrosse,Rochester,NCAA Division II (without football),385,834,1219,"Private nonprofit, 4-year or above",Men,33,,1695,55947,,,239032,,239032,
The College of Saint Rose,Lacrosse,Albany,NCAA Division II (without football),852,1655,2507,"Private nonprofit, 4-year or above",Men,37,,986,36491,,,224628,,214863,
Rensselaer Polytechnic Institute,Lacrosse,Troy,NCAA Division III (with football),3861,1695,5556,"Private nonprofit, 4-year or above",Men,41,,2315,94933,,,221068,,205404,
SUNY College at Cortland,Lacrosse,Cortland,NCAA Division III (with football),2631,3572,6203,"Public, 4-year or above",Men,52,,1653,85936,,,196238,,196238,
SUNY College at Plattsburgh,Lacrosse,Plattsburgh,NCAA Division III (without football),2265,2813,5078,"Public, 4-year or above",Men,58,,1411,81848,,,188271,,186904,
Saint John Fisher College,Lacrosse,Rochester,NCAA Division III (with football),1078,1581,2659,"Private nonprofit, 4-year or above",Men,42,,2163,90865,,,183886,,183886,
Nazareth College,Lacrosse,Rochester,NCAA Division III (without football),535,1382,1917,"Private nonprofit, 4-year or above",Men,43,,1222,52551,,,210056,,173999,
Dominican College of Blauvelt,Lacrosse,Orangeburg,NCAA Division II (without football),469,800,1269,"Private nonprofit, 4-year or above",Men,26,,1240,32248,,,167022,,167022,
Morrisville State College,Lacrosse,Morrisville,NCAA Division III (with football),1283,1221,2504,"Public, 4-year or above",Men,37,,1480,54750,,,161786,,161786,
SUNY College at Geneseo,Lacrosse,Geneseo,NCAA Division III (without football),2278,3136,5414,"Public, 4-year or above",Men,37,,1715,63467,,,164601,,160883,
Vassar College,Lacrosse,Poughkeepsie,NCAA Division III (without football),1049,1331,2380,"Private nonprofit, 4-year or above",Men,29,,2085,60453,,,164421,,158560,
United States Merchant Marine Academy,Lacrosse,Kings Point,NCAA Division III (with football),793,146,939,"Public, 4-year or above",Men,36,,1340,48238,,,153741,,153741,
Clarkson University,Lacrosse,Potsdam,NCAA Division III (without football),2201,920,3121,"Private nonprofit, 4-year or above",Men,43,,1197,51465,,,161477,,150075,
Utica College,Lacrosse,Utica,NCAA Division III (with football),969,1227,2196,"Private nonprofit, 4-year or above",Men,34,,1132,38490,,,150742,,145180,
Alfred University,Lacrosse,Alfred,NCAA Division III (with football),928,881,1809,"Private nonprofit, 4-year or above",Men,40,,1297,51887,,,143883,,143883,
St Lawrence University,Lacrosse,Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Men,45,,984,44265,,,143102,,143102,
Bard College,Lacrosse,Annandale-On-Hudson,NCAA Division III (without football),888,1094,1982,"Private nonprofit, 4-year or above",Men,19,,3492,66340,,,140044,,132411,
SUNY Oneonta,Lacrosse,Oneonta,NCAA Division III (without football),2237,3474,5711,"Public, 4-year or above",Men,45,,1140,51285,,,130636,,130636,
Skidmore College,Lacrosse,Saratoga Springs,NCAA Division III (without football),1051,1546,2597,"Private nonprofit, 4-year or above",Men,37,,1660,61413,,,125964,,125964,
Hartwick College,Lacrosse,Oneonta,NAIA Division III,591,915,1506,"Private nonprofit, 4-year or above",Men,34,,1139,38721,,,123580,,123580,
SUNY College at Potsdam,Lacrosse,Potsdam,NCAA Division III (without football),1562,2011,3573,"Public, 4-year or above",Men,44,,1201,52829,,,120309,,120989,
SUNY College at Oswego,Lacrosse,Oswego,NAIA Division III,3316,3516,6832,"Public, 4-year or above",Men,37,,1617,59813,,,123547,,117975,
Onondaga Community College,Lacrosse,Syracuse,NJCAA Division III,3184,3062,6246,"Public, 2-year",Men,44,,1758,77332,,,120401,,117507,
SUNY College at Brockport,Lacrosse,Brockport,NCAA Division III (with football),2904,3400,6304,"Public, 4-year or above",Men,37,,918,33968,,,106499,,106499,
